epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,6277.58,1.17084,1.00232,1.40647,0.65275,0.60233,0.6112,0.29848,1.85884,1.46217,1.9972,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6421.7,1.17092,0.99779,1.402,0.70134,0.65407,0.69362,0.31137,1.80521,1.33884,1.93312,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6565.42,1.16186,0.99812,1.40112,0.81249,0.6657,0.7108,0.32201,1.91982,1.3649,2.02606,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6709.75,1.16076,0.98163,1.39094,0.79736,0.57994,0.66795,0.30262,1.91761,1.32979,2.02534,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6854.98,1.14544,0.96724,1.38641,0.74661,0.67645,0.67722,0.31049,1.89929,1.37409,2.01824,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7000.36,1.13275,0.95454,1.37517,0.69622,0.6542,0.65295,0.33048,1.83132,1.39329,1.986,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7145.36,1.13907,0.94696,1.37609,0.621,0.62733,0.64008,0.29179,1.93787,1.3497,2.05393,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7289.27,1.12901,0.94338,1.36927,0.75383,0.57473,0.64828,0.31583,1.92929,1.32936,2.07881,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7432.91,1.12367,0.93142,1.36156,0.712,0.57831,0.65945,0.31111,1.84851,1.36355,1.98985,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7577.45,1.12573,0.9341,1.36464,0.72747,0.6282,0.66092,0.32504,1.83813,1.30499,1.99722,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7722.17,1.11626,0.92414,1.35248,0.66275,0.633,0.65113,0.31702,1.88918,1.32334,2.0365,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7866.13,1.10566,0.90223,1.34396,0.6953,0.62733,0.6777,0.33399,1.85441,1.27735,2.01477,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8009.78,1.10107,0.90183,1.34842,0.68122,0.62386,0.65858,0.30668,1.9235,1.43195,2.08003,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8152.48,1.0972,0.89849,1.34347,0.72416,0.62839,0.65616,0.31402,1.9299,1.36009,2.08363,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8296.18,1.08612,0.87923,1.33967,0.68656,0.68124,0.64382,0.29586,1.991,1.3709,2.13869,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8441.04,1.08567,0.87625,1.33273,0.73732,0.56919,0.60541,0.29027,2.0196,1.44939,2.17192,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8584.93,1.07596,0.86824,1.33131,0.69147,0.6032,0.61359,0.29789,2.03682,1.45195,2.19576,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8727.98,1.06999,0.86812,1.32151,0.75207,0.58971,0.64575,0.32942,1.87103,1.36862,2.08281,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8870.95,1.06295,0.85411,1.32093,0.68941,0.5782,0.62117,0.30857,1.8906,1.56149,2.06256,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9014.93,1.05311,0.84836,1.31746,0.73144,0.65557,0.66599,0.31068,1.92841,1.40924,2.1007,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9158,1.05514,0.83839,1.30928,0.73173,0.60233,0.64125,0.32024,1.91797,1.35882,2.10311,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9301.28,1.04208,0.8253,1.29861,0.69692,0.61081,0.64875,0.30159,1.908,1.34994,2.10332,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9444.85,1.04979,0.83241,1.30695,0.71925,0.56972,0.65167,0.30131,1.89767,1.36848,2.10441,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9587.49,1.03647,0.8218,1.29787,0.69228,0.61278,0.64481,0.29235,1.93725,1.39405,2.10244,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,9732.29,1.02702,0.81745,1.29132,0.68934,0.59167,0.63042,0.29938,1.88189,1.38598,2.08197,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9876.97,1.02053,0.80402,1.28492,0.69214,0.6252,0.63729,0.30488,1.888,1.38345,2.089,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10020.4,1.02157,0.80282,1.28154,0.67947,0.64359,0.62596,0.30247,1.92277,1.38362,2.13785,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10163.7,1.00764,0.78634,1.27516,0.64351,0.60407,0.62956,0.29925,1.89398,1.40306,2.10282,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10307.3,1.00369,0.78488,1.27342,0.70702,0.62733,0.63416,0.29176,1.88834,1.43355,2.07965,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10452.4,1.00427,0.7859,1.27673,0.71075,0.62878,0.64226,0.287,1.89862,1.47217,2.08747,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10596.9,0.99358,0.77781,1.26819,0.72938,0.60556,0.63369,0.28934,1.95988,1.43538,2.14754,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10741.9,0.99902,0.77799,1.2697,0.73627,0.59892,0.63608,0.29255,1.96115,1.38181,2.17572,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,10886.7,0.98366,0.75585,1.25327,0.73376,0.58367,0.61396,0.29448,1.95242,1.39971,2.16629,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11030.5,0.97991,0.75413,1.25321,0.72294,0.57207,0.60684,0.28626,1.94089,1.41909,2.16425,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11175.1,0.976,0.7504,1.2514,0.7107,0.58065,0.61479,0.28606,1.9485,1.40514,2.1689,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11320.3,0.96488,0.74379,1.24547,0.6745,0.58983,0.61123,0.28271,1.94923,1.39666,2.19264,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11464.8,0.95783,0.73892,1.23974,0.64256,0.63501,0.60932,0.28211,2.01154,1.45917,2.26392,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11609.7,0.94898,0.72652,1.2338,0.62275,0.61367,0.60813,0.27816,1.99037,1.44889,2.27371,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11753.7,0.94405,0.71978,1.23235,0.67483,0.5782,0.61015,0.27658,2.02745,1.43879,2.35352,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,11897.9,0.94925,0.72162,1.23055,0.62734,0.65145,0.60604,0.27618,2.02717,1.44306,2.34778,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12040.9,0.94006,0.71187,1.22495,0.65022,0.57585,0.58395,0.2749,2.02709,1.43784,2.3665,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12184.2,0.93086,0.70334,1.22223,0.65757,0.58313,0.59057,0.26961,1.99966,1.49183,2.31896,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12327.6,0.92669,0.69999,1.21982,0.62469,0.60521,0.59297,0.27263,2.0035,1.45643,2.32744,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,12470.6,0.91495,0.69119,1.21446,0.65366,0.626,0.60103,0.26876,1.99385,1.46006,2.31216,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,12614,0.90822,0.68589,1.20794,0.68589,0.5782,0.59982,0.27221,1.9956,1.4585,2.30203,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,12757.5,0.90622,0.68728,1.20855,0.65696,0.62116,0.61561,0.2803,1.99916,1.44497,2.31299,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,12900.7,0.90214,0.68119,1.19874,0.63645,0.63216,0.61452,0.27931,2.01672,1.44251,2.3401,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,13043.8,0.89812,0.6717,1.1937,0.6526,0.63164,0.6128,0.27871,2.02253,1.43612,2.36544,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
